ms,g
106,-32.3195
173,-35.7075
254,-162.424
353,-345.5911
458,-558.7134
534,-758.0792
624,-928.3159
737,-1029.9655
794,-1071.5971
920,-1040.4511
983,-938.3696
1063,-775.6912
1150,-580.0703
1272,-364.6897
1369,-169.7865
1452,-37.5855
1548,-16.8626
1629,0.9628
1724,-5.0383
1792,3.032
1873,-1.5509
1981,-4.9139
2072,-4.498
2147,-1.0708
2232,2.2427
2330,-3.2939
2439,-5.0621
2539,2.6992
2590,-1.1531
2684,3.8986
2782,5.3643
2869,-0.8017
2988,5.1297
3046,3.2635
3142,1.1245
3243,2.4408
3346,2.2806
3436,3.6611
3516,0.8576
3612,-0.631
3693,-1.0013
3776,0.5719
3891,4.226
3966,2.1003
4070,3.3775
4138,5.1715
