ms,g
111,-29.3541
167,-29.5019
256,-110.8035
375,-246.4659
428,-398.2041
531,-538.4746
625,-654.3516
702,-727.8447
812,-762.5456
882,-733.1748
977,-667.7641
1093,-552.2671
1177,-410.4704
1270,-257.9377
1357,-119.6407
1453,-29.0302
1542,-13.1915
1629,-2.939
1713,-2.504
1795,0.8427
1896,3.5176
2001,3.2817
2078,0.4362
2141,-0.8739
2250,0.1341
2344,1.7293
2431,-1.4828
2500,2.8434
2619,1.9707
2708,2.4799
2794,-3.4392
2884,-3.7338
2976,0.3683
3081,1.2733
3151,1.4935
3257,-2.5093
3332,1.3982
3415,3.4048
3530,-3.7909
3608,1.3055
3709,1.3937
3781,-3.4413
