ms,g
70,-4.4931
173,-23.7046
273,-38.9804
350,-59.5156
442,-77.6286
538,-93.9805
649,-109.3813
723,-128.1445
794,-146.1544
884,-162.4723
999,-179.0896
1075,-195.0249
1161,-209.0303
1273,-223.9096
1344,-238.9119
1448,-256.3772
1520,-272.9148
1624,-291.6386
1692,-308.3187
1793,-324.5288
1880,-343.7335
1988,-362.44
2061,-381.9795
2155,-400.7343
2256,-421.2153
2323,-441.1984
2428,-462.6713
2531,-480.4072
2590,-502.0757
2693,-519.659
2770,-539.3815
2861,-556.9928
2991,-575.7446
3040,-594.5792
3136,-612.6192
3234,-634.3818
3314,-652.7078
3404,-673.5737
3516,-692.3179
3584,-713.0772
3671,-731.5951
3768,-748.9919
3861,-765.7254
3940,-783.3865
4030,-802.1691
4142,-819.4266
4218,-840.6378
4314,-862.9409
4416,-884.4743
4512,-904.8049
4587,-926.4023
4665,-945.0329
4749,-959.9526
4868,-971.646
4946,-976.2626
5057,-975.6927
5147,-969.2625
5236,-957.0824
5313,-941.1525
5416,-920.3161
5498,-897.719
5592,-875.808
5654,-851.1346
5750,-828.8105
5851,-806.458
5949,-787.5919
6023,-768.7342
6103,-749.9098
6196,-730.5828
6315,-712.7244
6398,-693.9571
6495,-674.7486
6555,-656.1536
6654,-634.5658
6760,-614.8381
6861,-595.3702
6915,-576.1223
7028,-557.123
7116,-536.9588
7214,-518.7679
7276,-499.0172
7377,-479.8122
7457,-459.8994
7572,-440.6875
7650,-420.3047
7749,-400.5941
7811,-380.2837
7907,-362.2286
8002,-342.2127
8110,-325.1948
8170,-306.0037
8265,-289.3075
8360,-270.5286
8479,-254.3241
8570,-235.8236
8620,-219.1612
8748,-203.3236
8838,-187.6602
8897,-171.6357
9011,-154.5652
9105,-137.7839
9165,-119.746
9284,-103.219
9341,-85.4294
9463,-71.617
9554,-53.9604
9645,-37.245
9699,-24.2918
9826,-6.7911
9889,-0.5984
10009,1.1196
10096,1.1068
10164,0.4338
10278,-1.005
10366,-0.4186
10424,-0.7662
10509,-0.2762
10638,0.1111
10727,0.9473
10808,-0.6194
10878,0.4259
10985,0.281
11084,-0.3854
11151,0.3038
