ms,g
90,-4.165
161,-15.9963
274,-26.6331
339,-40.3143
443,-52.9422
529,-62.6729
610,-74.2707
741,-84.9732
823,-97.81
879,-109.029
993,-119.5557
1067,-130.2569
1179,-139.9816
1249,-149.6672
1338,-161.4559
1419,-170.9307
1516,-183.5901
1609,-195.1618
1722,-206.0989
1803,-219.144
1873,-230.8969
1997,-243.4532
2074,-255.9185
2152,-268.996
2260,-283.599
2320,-296.9679
2446,-311.3443
2523,-322.3039
2613,-337.0281
2717,-349.181
2779,-361.2942
2892,-374.2897
2975,-386.9896
3039,-399.6988
3149,-411.9721
3248,-426.2899
3334,-438.9457
3411,-453.1829
3525,-466.1095
3586,-477.8836
3710,-491.42
3765,-502.8273
3885,-514.7725
3974,-525.8918
4044,-537.6408
4159,-551.4368
4228,-563.7788
4316,-578.3091
4428,-593.3742
4515,-608.166
4595,-621.712
4660,-634.3006
4772,-644.7255
4860,-652.2513
4970,-656.4083
5038,-655.7546
5110,-650.4553
5214,-643.3446
5303,-631.4742
5399,-618.3057
5498,-603.7998
5582,-587.2245
5673,-571.5517
5753,-555.991
5864,-541.6223
5944,-528.8826
6024,-516.2148
6122,-502.6299
6194,-491.7319
6310,-478.8273
6409,-465.6295
6494,-453.5485
6591,-439.6086
6650,-427.4115
6743,-413.389
6823,-400.5802
6920,-386.1894
7028,-373.1818
7124,-360.3762
7179,-348.1724
7275,-335.1805
7385,-322.3591
7480,-308.6965
7557,-295.2191
7651,-282.4638
7747,-268.4847
7833,-255.8965
7936,-242.4653
8021,-229.5459
8120,-217.311
8198,-205.5714
8265,-193.9755
8362,-181.5541
8442,-170.0823
8569,-158.2288
8643,-147.1774
8727,-137.2445
8836,-126.9185
8900,-115.6988
9011,-105.0469
9096,-91.89
9159,-80.6892
9254,-69.0199
9366,-58.1107
9463,-47.8789
9558,-36.6508
9645,-24.482
9739,-15.5024
9801,-5.6661
9918,-0.2435
9976,-0.2202
10062,0.6108
10173,-0.4033
10270,0.1374
10365,-0.6168
10426,-0.0338
10520,-0.1308
10602,-0.1152
10694,0.5555
10791,0.6046
10871,-0.6772
10986,-0.5881
11050,-0.2278
11180,0.6581
11264,-0.2941
11333,-0.3528
11445,0.6566
11538,0.3868
11590,-0.3581
11679,0.1149
11789,-0.6974
11877,-0.2079
11969,0.4511
