ms,g
82,-49.4991
168,-230.2254
249,-396.9185
376,-587.53
436,-775.3244
542,-933.7731
617,-1095.508
736,-1278.6552
815,-1441.6654
890,-1631.8325
1011,-1796.5284
1084,-1931.206
1158,-2093.6999
1278,-2242.8906
1334,-2386.5738
1447,-2556.4625
1528,-2722.2006
1629,-2894.6101
1703,-3078.6559
1788,-3248.482
1909,-3442.0324
1981,-3621.0919
2067,-3818.3319
2147,-4006.3157
2238,-4227.0589
2330,-4429.1659
2447,-4634.6975
2528,-4805.1581
2615,-5020.3135
2686,-5196.4047
2806,-5387.2739
2872,-5570.4879
2973,-5745.2605
3075,-5949.2265
3170,-6133.1897
3225,-6346.1046
3340,-6538.1207
3400,-6733.4404
3491,-6940.1244
3618,-7116.297
3700,-7301.1637
3764,-7488.3011
3857,-7653.7605
3974,-7829.842
4056,-8013.0553
4139,-8194.1975
4237,-8400.1152
4310,-8609.9438
4423,-8833.7983
4492,-9062.2173
4611,-9267.0256
4672,-9450.5215
4755,-9601.1491
4880,-9714.5952
4940,-9766.7285
5060,-9754.9121
5150,-9695.9035
5206,-9566.0146
5289,-9410.8468
5417,-9204.1468
5489,-8981.2091
5585,-8735.723
5678,-8506.1949
5766,-8283.6908
5833,-8071.2453
5919,-7869.9889
6046,-7686.5169
6138,-7499.9039
6201,-7303.5246
6285,-7125.2717
6407,-6944.8319
6497,-6761.377
6567,-6559.5317
6641,-6353.2015
6760,-6153.4419
6827,-5963.2232
6914,-5762.1815
7036,-5571.6225
7124,-5362.5032
7208,-5187.7735
7296,-4985.8701
7381,-4787.5064
7479,-4587.4044
7558,-4396.6691
7643,-4203.612
7719,-4009.7674
7818,-3798.0805
7902,-3624.8116
8002,-3427.4377
8085,-3240.3119
8192,-3059.7282
8274,-2888.5191
8367,-2704.1857
8459,-2542.0168
8559,-2355.9611
8654,-2194.0363
8717,-2030.5956
8822,-1880.4712
8912,-1729.8912
9010,-1556.0472
9083,-1376.4835
9160,-1203.825
9266,-1032.4423
9354,-857.4831
9456,-708.2382
9544,-542.1027
9611,-365.5168
9734,-234.969
9812,-78.2372
9888,-10.3718
9993,-3.2523
10078,-8.5095
10182,0.6757
10251,11.2408
10359,-6.4081
10455,-8.7106
10527,10.5553
10630,-6.0918
10700,7.159
10811,7.824
10886,-10.6558
10959,-2.2815
11064,4.1575
11173,4.175
11230,-7.7274
11357,0.2549
11433,2.6238
11499,-8.3917
11613,-1.7859
11687,6.8755
11794,-10.3292
11899,-8.9245
11986,10.9452
12079,-7.3606
12142,-7.7111
12256,-6.9821
